live/beta,desease,status,model_output,symptoms
beta,Infarct,pass,"Infarct, Ischemia","Central, Tightness, Dull, Left arm, Infarct, Age<20, FH (Familial history), HR>100 (heart rate greater than 100), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography)"
beta,AS/AI,pass,"AS/AI, Ischemia","Nitrate relief, Weeks, Tightness, Exertional, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HLD (Hyperlipidemia), CTA (Computed Tomography Angiography), Low carotid puls, JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis"
beta,Ischemia,pass,"Ischemia, Infarct","Onset at rest, Nitrate relief, Jaw, Left side, CAD (Coronary artery disease), Age<60, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, Pulmonary","Days, Retrosternal, Pleuritic, Squeezing, Pericarditis, Age<20, CP1Day (cytopathologists), Pericardial rub, Diaphoresis, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, GI","Days, Central, Onset at rest, Pressure, Pericarditis, Age<40, CP1Day (cytopathologists), Pericardial rub, HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,MS,pass,"MS, GI","Days, Ache, Minutes, Improvement with Bending, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Ischemia,pass,"Ischemia, AS/AI","Nitrate relief, Intermittent, Retrosternal, Gradual, Infarct, Age<20, TOB (Tobacco), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Ischemia, Infarct","Exertional, Central, Gripping, Tightness, CAD (Coronary artery disease), Age<20, DM (Diabetes mellitus), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, AS/AI","Exertional, Nitrate relief, Cough, Tightness, CHF (congestive heart failure), Age<30, CP1Day (cytopathologists), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Retrosternal, Severe, Boring, Onset at rest, CTD (connective tissue disease), Age<40, GreaterCRF's (Chronic renal failure), Un= pulses (unequal pulse), Murmur Diastolic, BP differential, Diaphoresis"
beta,Ischemia,pass,"Infarct, Ischemia","Left side, Severe, Tightness, Sweating, CAD (Coronary artery disease), Age<50, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,GI,pass,"Eso rupture, GI","Retrosternal, Central, Eating, Pressure, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Distress, Ripping, Retrosternal, Localised, CTD (connective tissue disease), Age<40, CP1Day (cytopathologists), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"Ischemia, CHF","Heaviness, Tightness, Gradual, Subacute, Infarct, Age<40, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, GI","Right side, Minutes, Hours, Days, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Pulmonary,pass,"Pulmonary, PE","Subacute, Fever, Persistent, Gradual, COPD (Chronic obstructive pulmonary disease), Age<50, GreaterCRF's (Chronic renal failure), Diaphoresis, Pleural Rub, RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
beta,Pericarditis,pass,"Pericarditis, GI","Burning, Retrosternal, Days, Pressure, Auto immune, Age>65, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), Pericardial rub, Diaphoresis, T>100.4 (temperature is greater than 100.4)"
beta,PE,pass,"PE, Pericarditis","Pressure, Burning, Persistent, Stabbing, Coagulopathy, Age<20, Calf pain/swell, O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), R S3, HR>100 (heart rate greater than 100)"
beta,PE,pass,"PE, Pulmonary","Intermittent, Persistent, Severe, Pleuritic, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<50, Travel, R S3, Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis"
beta,Aortic Dissection,pass,"Aortic Dissection, AS/AI","Squeezing, Sudden, Diffuse, Tearing, Aortic dissection, Age<20, GreaterCRF's (Chronic renal failure), Murmur Diastolic, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,MS,pass,"MS, CHF","Minutes, Positional, Days, Tender, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,CHF,pass,"CHF, Ischemia","Tightness, Heaviness, Nitrate relief, Gradual, CHF (congestive heart failure), Age>65, CP1Day (cytopathologists), Edema, Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100)"
beta,PE,pass,"PE, Eso rupture","Intermittent, Stabbing, Radiates, Persistent, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<30, Calf pain/swell, R S3, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), Diaphoresis"
beta,AS/AI,pass,"AS/AI, Ischemia","Squeezing, Subacute, Intermittent, Diffuse, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HTN (Hypertension), Rales, Murmur systolic, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pericarditis,pass,"Pericarditis, Infarct","Onset at rest, Diffuse, Throat, Severe, Pericarditis, Age<40, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, Ischemia","Retrosternal, Squeezing, Exertional, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography), Murmur systolic, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Infarct,pass,"Infarct, PE","Short of breath, Dull, Sudden, Pressure, CAD (Coronary artery disease), Age>65, FH (Familial history), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,Infarct,pass,"Infarct, Ischemia","Exertional, Jaw, Gripping, Left side, CAD (Coronary artery disease), Age<20, GreaterCRF's (Chronic renal failure), Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Aortic Dissection","Ache, Retrosternal, Boring, Gradual, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Ischemia,pass,"Ischemia, Infarct","Squeezing, Radiates, Gripping, Intermittent, Infarct, Age<60, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, Infarct","Squeezing, Radiates, Central, Pressure, Auto immune, Age<20, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, RR>20 (respiratory rate is greater than 20), Pericardial rub"
beta,MS,pass,"MS, GI","Days, Persistent, Hours, Sharp, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,PE,pass,"PE, Pericarditis","Pleuritic, Pressure, Severe, Onset at rest, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Calf pain/swell, HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), Pleural Rub"
beta,Eso rupture,pass,"Eso rupture, PE","Tearing, Localised, Acid reflux, Stabbing, Crepitus, Age<20, Trauma, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Abd tender (Abdominal tender)"
beta,CHF,pass,"CHF, Ischemia","Heaviness, Subacute, Nitrate relief, Exertional, Infarct, Age<40, HTN (Hypertension), Diaphoresis, Edema, Rales, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,AS/AI,pass,"AS/AI, CHF","Central, Squeezing, Short of breath, Nitrate relief, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), Diaphoresis, Low carotid puls, Murmur Diastolic, S3"
beta,MS,pass,"MS, CHF","Weeks, Intermittent, Seconds, Tender, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Eso rupture,pass,"Eso rupture, MS","Tender, Minutes, Radiating to Back, Retrosternal, Crepitus, Age<20, Trauma, Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,GI,pass,"GI, MS","Hours, Onset at rest, Intermittent, Right side, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, AS/AI","Retrosternal, Tightness, Diffuse, Severe, Aortic dissection, Age<40, FH (Familial history), Sbp>140 (systolic blood pressure is greater than 140), Un= pulses (unequal pulse), Murmur Diastolic, Diaphoresis"
beta,PE,pass,"PE, Eso rupture","Stabbing, Radiates, Severe, Onset at rest, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<20, CP1Day (cytopathologists), Pleural Rub, RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), R S3"
beta,AS/AI,pass,"AS/AI, Ischemia","Syncope, Pressure, Diffuse, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Low carotid puls, Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), CTA (Computed Tomography Angiography)"
beta,PE,pass,"PE, MS","Severe, Intermittent, Stabbing, Hours, Coagulopathy, Age<30, Bed ridden, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Pleural Rub"
beta,MS,pass,"MS, CHF","Stabbing, Positional, Hours, Ache, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Pericarditis,pass,"Pericarditis, Ischemia","Diffuse, Subacute, Dull, Severe, Pericarditis, Age<30, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), Pericardial rub, RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"CHF, AS/AI","Short of breath, Nitrate relief, Exertional, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Sbp>140 (systolic blood pressure is greater than 140), S3, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, Pulmonary","Tightness, Cough, Short of breath, Exertional, CAD (Coronary artery disease), Age<30, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), JVD> 4cm (jugular venous distension greater than 4 centimeters), O2sat < 90 (oxygen saturation level is less than 90), Edema"
beta,AS/AI,pass,"AS/AI, Ischemia","Exertional, Dull, Tightness, Left side, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), HR>100 (heart rate greater than 100), S3, Murmur systolic, Low carotid puls"
beta,Pericarditis,pass,"Pericarditis, GI","Gradual, Stabbing, Persistent, Burning, Pericarditis, Age<40, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,GI,pass,"GI, Eso rupture","Retrosternal, Burning, Gradual, Stomach, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, GI","Acid reflux, Central, Minutes, Sudden, Hx ESO, Age<40, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Abd tender (Abdominal tender), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Tearing, Distress, Jaw, Minutes, Hx ESO, Age<20, Trauma, RR>20 (respiratory rate is greater than 20), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,Infarct,pass,"Infarct, Eso rupture","Left side, Minutes, Tightness, Severe, CAD (Coronary artery disease), Age>65, HLD (Hyperlipidemia), Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Fever, Days, Persistent, Short of breath, COPD (Chronic obstructive pulmonary disease), Age<20, CP1Day (cytopathologists), O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4)"
beta,GI,pass,"GI, Eso rupture","Nausea, Eating, Stomach, Central, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,fail,"Aortic Dissection, Pericarditis","Central, Persistent, Burning, Pressure, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Persistent, Minutes, Tightness, Tearing, CTD (connective tissue disease), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,Ischemia,pass,"Infarct, Ischemia","Onset at rest, Sudden, Squeezing, Pressure, Infarct, Age<60, TOB (Tobacco), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,fail,"Infarct, Eso rupture","Dull, Radiates, Sudden, Jaw, CAD (Coronary artery disease), Age<30, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, GI","Onset at rest, Burning, Persistent, Intermittent, Coagulopathy, Age<40, Calf pain/swell, Sbp< 100 (systolic blood pressure is less than 100), Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20)"
beta,Eso rupture,pass,"Eso rupture, PE","Eating, Stabbing, Boring, Sudden, Hx ESO, Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,CHF,pass,"CHF, AS/AI","Exertional, Gradual, Tightness, Subacute, CAD (Coronary artery disease), Age<40, HTN (Hypertension), HR>100 (heart rate greater than 100), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Fever, Persistent, Days, Gradual, COPD (Chronic obstructive pulmonary disease), Age<50, GreaterCRF's (Chronic renal failure), Pleural Rub, RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis"
beta,AS/AI,pass,"AS/AI, GI","Retrosternal, Dull, Syncope, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Murmur systolic, S3"
beta,PE,pass,"PE, Pulmonary","Onset at rest, Short of breath, Burning, Persistent, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<20, Recent surgery , R S3, O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), Pleural Rub"
beta,Aortic Dissection,pass,"Aortic Dissection, AS/AI","Radiating to Back, Squeezing, Diffuse, Sudden, Aortic dissection, Age<60, DM (Diabetes mellitus), BP differential, Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Murmur Diastolic"
beta,Pulmonary,pass,"Pulmonary, CHF","Short of breath, Gradual, Fever, Subacute, COPD (Chronic obstructive pulmonary disease), Age<60, GreaterCRF's (Chronic renal failure), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4), O2sat < 90 (oxygen saturation level is less than 90)"
beta,CHF,pass,"CHF, Pulmonary","Cough, Short of breath, Nitrate relief, Gradual, CHF (congestive heart failure), Age<40, HTN (Hypertension), O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Sbp< 100 (systolic blood pressure is less than 100)"
beta,MS,pass,"MS, CHF","Weeks, Stabbing, Tender, Ache, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,PE,pass,"PE, Pulmonary","Short of breath, Sharp, Sudden, Burning, Coagulopathy, Age<40, CP1Day (cytopathologists), Diaphoresis, Pleural Rub, R S3, HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, CHF","Stabbing, Weeks, Fleeting, Right side, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,AS/AI,pass,"AS/AI, Ischemia","Weeks, Months, Tightness, Squeezing, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic, CTA (Computed Tomography Angiography), Murmur systolic"
beta,PE,pass,"PE, Eso rupture","Sudden, Severe, Stabbing, Short of breath, Coagulopathy, Age>65, Bed ridden, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Pleural Rub"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Persistent, Fever, Gradual, Cough, COPD (Chronic obstructive pulmonary disease), Age>65, TOB (Tobacco), Diaphoresis, T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Boring, Retrosternal, Intermittent, Eating, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Pressure, Boring, Intermittent, Acid reflux, G.I. (gastrointestinal), Age<30, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, Infarct","Tightness, Heaviness, Exertional, Short of breath, Infarct, Age<50, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), Diaphoresis, S3, Sbp>140 (systolic blood pressure is greater than 140)"
beta,Infarct,pass,"Infarct, Eso rupture","Persistent, Vomiting, Minutes, Gripping, Infarct, Age<50, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Diaphoresis"
beta,MS,pass,"MS, GI","Days, Fleeting, Intermittent, Tender, Musculoskeletal, Age<40, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Ischemia,fail,"Infarct, Pericarditis","Left side, Gradual, Severe, Tightness, CAD (Coronary artery disease), Age<20, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Infarct, Eso rupture","Jaw, Sudden, Vomiting, Gripping, Infarct, Age<30, CP1Day (cytopathologists), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Diffuse, Boring, Radiates, Gripping, CTD (connective tissue disease), Age<60, HTN (Hypertension), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic, Un= pulses (unequal pulse)"
beta,PE,pass,"PE, Aortic Dissection","Persistent, Radiates, Sudden, Sharp, Coagulopathy, Age<60, Travel, R S3, HR>100 (heart rate greater than 100), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pericarditis,pass,"Pericarditis, Ischemia","Heaviness, Squeezing, Sharp, Gradual, Auto immune, Age<50, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), Pericardial rub, Diaphoresis, T>100.4 (temperature is greater than 100.4)"
beta,AS/AI,pass,"AS/AI, Infarct","Dull, Syncope, Squeezing, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HLD (Hyperlipidemia), Diaphoresis, S3, Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Infarct,pass,"Infarct, Ischemia","Radiates, Exertional, Minutes, Gripping, CAD (Coronary artery disease), Age<20, GreaterCRF's (Chronic renal failure), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
beta,Infarct,pass,"Infarct, Ischemia","Exertional, Minutes, Sudden, Heaviness, Infarct, Age<50, HTN (Hypertension), Diaphoresis, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, CHF","Short of breath, Syncope, Exertional, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), S3, Low carotid puls, Rales"
beta,PE,pass,"PE, Pericarditis","Stabbing, Persistent, Pressure, Burning, Coagulopathy, Age<50, Calf pain/swell, O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub, R S3, RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Ischemia, Infarct","Heaviness, Nitrate relief, Sudden, Dull, Infarct, Age>65, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, Eso rupture","Burning, Days, Dull, Throat, Pericarditis, Age<30, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Infarct, Ischemia","Left arm, Retrosternal, Gripping, Pressure, CAD (Coronary artery disease), Age<20, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography)"
beta,GI,pass,"GI, Eso rupture","Gradual, Eating, Minutes, Persistent, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Fever, Short of breath, Subacute, Cough, COPD (Chronic obstructive pulmonary disease), Age<50, TOB (Tobacco), HR>100 (heart rate greater than 100), Pleural Rub, T>100.4 (temperature is greater than 100.4), O2sat < 90 (oxygen saturation level is less than 90)"
beta,MS,pass,"MS, CHF","Stabbing, Fleeting, Ache, Tender, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, CHF","Right side, Positional, Fleeting, Improvement with Bending, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,AS/AI,pass,"AS/AI, Ischemia","Exertional, Squeezing, Nitrate relief, Dull, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HLD (Hyperlipidemia), S3, CTA (Computed Tomography Angiography), JVD> 4cm (jugular venous distension greater than 4 centimeters), Low carotid puls"
beta,PE,pass,"PE, Pericarditis","Radiates, Persistent, Sudden, Pleuritic, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Calf pain/swell, O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis, RR>20 (respiratory rate is greater than 20), R S3"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Sudden, Splitting, Onset at rest, Radiates, Aortic dissection, Age>65, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), Un= pulses (unequal pulse), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Days, Subacute, Fever, Gradual, COPD (Chronic obstructive pulmonary disease), Age<50, TOB (Tobacco), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub, Diaphoresis, RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"Ischemia, CHF","Tightness, Gradual, Subacute, Heaviness, CAD (Coronary artery disease), Age<40, HTN (Hypertension), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,GI,pass,"GI, MS","Ache, Right side, Dull, Onset at rest, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, CHF","Weeks, Exertional, Months, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), Murmur Diastolic, CTA (Computed Tomography Angiography), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Gradual, Cough, Persistent, Days, COPD (Chronic obstructive pulmonary disease), Age<20, HLD (Hyperlipidemia), Diaphoresis, RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Ischemia","Radiates, Intermittent, Gradual, Dull, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
